id	author name	title catalog	vols	pub date	pub location
260719	PreÃÅvost, abbeÃÅ	The history of a fair Greek : who was taken out of a seraglio at Constantinople, and brought to Paris by a late embassador at the Ottoman port : interspersed with the surprising adventures of several other slaves / by Abbot Provost ...	2	1741	London
260720	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams : written in imitation of the manner of Cervantes, author of Don Quixote / by Henry Fielding, Esquire ... : in two volumes.	2	1743	London
260721	Fielding, Henry	The history of the adventures of Joseph Andrews, and of his friend Mr. Abraham Adams : written in the manner of Cervantes, author of Don Quixote : in two volumes.	2	1742	London
260722		The Life and adventures of Mrs. Christian Davies, commonly called Mother Ross : who, in several campaigns under King William and the late Duke of Marlborough, in the quality of a foot soldier and dragoon, gave many signal proofs of an unparallelled courage and personal bravery : taken from her own mouth when a pensioner of Chelsea Hospital, and known to be true by many who were engaged in those great scenes of action.	1	1740	London
260723	Jenner, J.	Melmoth House : a novel : in three volumes / by Mrs. J. Jenner.	3	1816	London
260724	Campbell, John	The polite correspondence, or, Rational amusement : being a series of letters, philosophical, poetical, historical, critical, amorous, moral, and satyrical : wherein are introduc\\\'d a great variety of instructive and delightful incidents, both in prose and verse ...	1	1740	London
260725	Dow, Lorenzo	History of Cosmopolite, or The four volumes of Lorenzo\\\'s journal, concentrated in one : containing his experience and travels, from childhood to 1814, being upwards of thirty-six years.	1	1814	New York
260726	Klopstock, Friedrich Gottlieb	The messiah / attempted from the German of Mr. Klopstock, by Mr. Collyer ...	2	1811	Boston
260727	Klopstock, Friedrich Gottlieb	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	2	1811	London
260728	Waln, Robert	The hermit in America on a visit to Philadelphia : containing some account of the human leeches, belles, beaux, coquettes, dandies, cotillion parties, supper parties, tea parties, &c. &c. of that famous city, and the poets and painters of America / edited by Peter Atall, Esq.	1	1819	Philadelphia
260729	Smollett, Tobias George	The adventures of Ferdinand, count Fathom, by Dr. Smollett.	2	1817	New York
260730	Helme, Elizabeth	Instructive rambles in London, and the adjacent villages. Designed to amuse the mind, and improve the understanding of youth. By Elizabeth Helm.	1	1814	New York
260731	More, Hannah	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals.	2	1810	Philadelphia
260732	Hogg, James	The brownie of Bodsbeck, and other tales / by James Hogg ...	2	1818	Edinburgh
260733	Graves, Richard	The spiritual Quixote, or, The summer\\\'s ramble of Mr. Geoffry Wildgoose. A comic romance. To which is prefixed the life of the author.	2	1816	Providence, R.I.,
260734	Williams, John	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	1	1811	Brookfield
260735	Brunton, Mary	Self-control: a novel.	2	1811	Edinburgh
260736	Byron, Medora Gordon	The alderman and the peer, or, The ancient castle & modern villa : in three volumes / by Miss Byron.	3	1810	London
260737		The Englishman in Paris : a satirical novel : With sketches of   the most memorable characters that have recently visited that celebrated        capital ... In three volumes.	3	1819	London
260738	Byron, Medora Gordon	Celia in search of a husband / By a modern antique.	2	1819	London
260740	Brunton, Mary	Discipline: a novel. By the author of Self-Control.	3	1814	Edinburgh
260741	More, Hannah	The works of Hannah More : including several pieces never before published.	8	1818	Philadelphia
260742	Grant, Anne MacVicar	Letters from the mountains; being the real correspondence of a lady, between the years 1773 and 1807.	3	1813	London
260743	Cunningham, J. W	A world without souls ; and, The velvet cushion / by J.W. Cunningham.	2	1815	Albany
260744	Cunningham, J. W	A world without souls ; and, The velvet cushion / by J.W. Cunningham.	1	1815	Albany
260745		An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6 : giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions : interspersed with very entertaining anecdotes ... : to which is added a complete dictionary of the Indian tongue / by William Fisher, Esq.	1	1813	Baltimore
260747	West	Alicia de Lacy : an historical romance / by the author of ""The loyalists,"" &c."	4	1814	London
260748	Helme, Elizabeth	Instructive rambles in London and the adjacent villages : Designed to amuse the mind and improve the understanding of youth / by Elizabeth Helme.	1	1811	London
260749	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\\\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.	19	1814	Edinburgh
260750	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\\\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.	19	1814	Edinburgh
260751	Louis Bonaparte	Maria; or, The Hollanders / by Louis Bonaparte.	3	1815	London
260752	Wall, Anton	Amatonda : a tale from the German of Anton Wall.	1	1811	London
260753		A short account of the courtship of Alonzo & Melissa : setting forth their hardships and difficulties, caused by the barbarity of an unfeeling father / by Daniel Jackson, Jun.	1	1811	Plattsburgh [NY]
260754		The Asylum, or, Alonzo and Melissa : an American tale, founded on fact / by I. Mitchell.	2	1811	Poughkeepsie [N.Y.] :
260755	Foster, Hannah Webster	The coquette, or, The history of Eliza Wharton : a novel, founded on fact / by a lady of Massachusetts.	1	1811	Newburyport:
260756	Irving, Washington	Salmagundi : or, The whim-whams and opinions of Launcelot Langstaff, esq. and others ....	2	1811	London
260757	Parker, Emma	Elfrida, heiress of Belgrove : a novel. / By Emma Parker.	4	1811	London
260758	Rose, Edward H	The sea-devil; or, Son of a bellows-mender : a tragi-comic romance of the present day. In two volumes. / By Edward Rose, seaman.	2	1811	Plymouth Dock
260759	Klopstock, Friedrich Gottlieb	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	2	1811	London
260760	Nares, Edward	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?	2	1811	London
260761	Nares, Edward	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?	2	1811	London
260762	West	The refusal. By the author of the ""Tale of the times,"" ""Infidel father,"" &c."	3	1810	London
260763	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : To which is added an account of a battle between the ancient and modern books in St. James Library : with the author\\\'s apology, and explanatory notes / by W. Wotton, B.D. and others.	1	1811	London
260764	Fowler, George	The wandering philanthropist; or, Lettres [sic] from a Chinese. Written during his residence in the United States. Discovered and edited by George Fowler.	1	1810	Philadelphia
260765		Dame Partlet\\\'s farm : containing an account of the great riches she obtained by industry, the good life she led, and alas good reader! her sudden death : to which is added, a hymn, written by Dame Partlett, just before her death, and an epitaph for her tomb stone.	1	1810	Philadelphia
260766		Rosa; or, American genius and education.	1	1810	New York
260767	Barrett, Eaton Stannard	The metropolis, or, A cure for gaming ; interspersed with anecdotes of living characters in high life / by Cervantes Hogg [pseud]	3	1811	London
260768	Cottin	The Saracen; or, Matilda and Malek Adhel, a crusade romance, from the French of Madame Cottin, with an historical introduction, by J. Michaud.	2	1810	New York
260769	Brown, Charles Brockden	Ormond : or, The secret witness / by B. C. Brown.	3	1811	London
260770	Hunter, Rachel	Letters from Mrs. Palmerstone  to her daughter; inculcating morality by entertaining narratives. By Mrs. Hunter.	3	1810	London
260771	Cottin	Elizabeth, or, The exiles of Siberia.	1	1810	London
260772	Porter, Anna Maria	The lake of Killarney : a novel in two volumes / by Anna Maria Porter.	2	1810	Philadelphia
260773	Johnson, Samuel	Rasselas, : a tale. / By Samuel Johnson, LL.D.	1	1816	Oxford
260774	Smith, Charlotte Turner	The old manor house : a novel / By Charlotte Smith.	2	1810	London
260775	Cuthbertson, Catherine	Forest of Montalbano : a novel / by the author of Santo Sebastiano and The romance of the Pyrenees.	4	1810	London
260776		Anne of Brittany : an historical romance.	3	1810	London
260777	A Lady	Julia de Vienne : a novel, imitated from the french / by a lady.	4	1811	London
260778	Goulburn, Edward	Frederick de Montford : a novel / By the author of The pursuits of fashion.	3	1811	London
260779		Bath and London ; or, Scenes in each : a novel.	4	1811	London
260780	Walsh	The officer\\\'s daughter ; or, A visit to Ireland in 1790 / By the Daughter of a Captain in the Navy, deceased.	4	1810	London
260781		The avenger ; or, The Sicilian vespers : a romance of the thirteenth century, not inapplicable to the nineteenth.	3	1810	London
260782	Austen, Jane	Emma: a novel. In three volumes. By the author of ""Pride and prejudice,"" &c. &c. ..."	3	1816	London
260783	Austen, Jane	Mansfield Park; a novel in three volumes By the author of ""Pride and prejudice."	3	1816	London
260784	Austen, Jane	Mansfield Park: a novel.  In three volumes. By the author of ""Sense and sensibility"", and ""Pride and prejudice"" ..."	3	1814	London
260785	Austen, Jane	Sense and sensibility : a novel in three volumes / By a lady.	3	1811	London
260786	Shelley, Mary Wollstonecraft	Frankenstein, or, The modern Prometheus.	3	1818	London
260787	Friend to St. Peter	The trial of Antichrist, otherwise, the man of sin, for high treason against the Son of God ... / taken in short hand by a friend to St. Peter.	1	1810	Boston
260788	Lamb, Charles	Tales from Shakspeare : designed for the use of young persons ...	1	1813	Philadelphia
260789	T. B	The life and death of the Merry Deuill of Edmonton : with the pleasant pranks of Smug the Smith, Sir John, and mine host of the George about the stealing of venison / by T.B.	1	1819	London
