id	author name	title catalog	vols	pub date	pub location
260767	Barrett, Eaton Stannard	The metropolis, or, A cure for gaming ; interspersed with anecdotes of living characters in high life / by Cervantes Hogg [pseud]	3	1811	London
260768	Cottin	The Saracen; or, Matilda and Malek Adhel, a crusade romance, from the French of Madame Cottin, with an historical introduction, by J. Michaud.	2	1810	New York
260769	Brown, Charles Brockden	Ormond : or, The secret witness / by B. C. Brown.	3	1811	London
260770	Hunter, Rachel	Letters from Mrs. Palmerstone  to her daughter; inculcating morality by entertaining narratives. By Mrs. Hunter.	3	1810	London
260771	Cottin	Elizabeth, or, The exiles of Siberia.	1	1810	London
260772	Porter, Anna Maria	The lake of Killarney : a novel in two volumes / by Anna Maria Porter.	2	1810	Philadelphia
260773	Johnson, Samuel	Rasselas, : a tale. / By Samuel Johnson, LL.D.	1	1816	Oxford
260774	Smith, Charlotte Turner	The old manor house : a novel / By Charlotte Smith.	2	1810	London
260775	Cuthbertson, Catherine	Forest of Montalbano : a novel / by the author of Santo Sebastiano and The romance of the Pyrenees.	4	1810	London
260776		Anne of Brittany : an historical romance.	3	1810	London
260777	A Lady	Julia de Vienne : a novel, imitated from the french / by a lady.	4	1811	London
260778	Goulburn, Edward	Frederick de Montford : a novel / By the author of The pursuits of fashion.	3	1811	London
260779		Bath and London ; or, Scenes in each : a novel.	4	1811	London
260780	Walsh	The officer\\\'s daughter ; or, A visit to Ireland in 1790 / By the Daughter of a Captain in the Navy, deceased.	4	1810	London
260781		The avenger ; or, The Sicilian vespers : a romance of the thirteenth century, not inapplicable to the nineteenth.	3	1810	London
260782	Austen, Jane	Emma: a novel. In three volumes. By the author of ""Pride and prejudice,"" &c. &c. ..."	3	1816	London
260783	Austen, Jane	Mansfield Park; a novel in three volumes By the author of ""Pride and prejudice."	3	1816	London
260784	Austen, Jane	Mansfield Park: a novel.  In three volumes. By the author of ""Sense and sensibility"", and ""Pride and prejudice"" ..."	3	1814	London
260785	Austen, Jane	Sense and sensibility : a novel in three volumes / By a lady.	3	1811	London
260786	Shelley, Mary Wollstonecraft	Frankenstein, or, The modern Prometheus.	3	1818	London
260787	Friend to St. Peter	The trial of Antichrist, otherwise, the man of sin, for high treason against the Son of God ... / taken in short hand by a friend to St. Peter.	1	1810	Boston
260788	Lamb, Charles	Tales from Shakspeare : designed for the use of young persons ...	1	1813	Philadelphia
260789	T. B	The life and death of the Merry Deuill of Edmonton : with the pleasant pranks of Smug the Smith, Sir John, and mine host of the George about the stealing of venison / by T.B.	1	1819	London
260790		Shakespeare\\\'s jest book / [edited by Samuel Weller Singer].	1	1814	Chiswick
260791	Ellis, George	Specimens of early English metrical romances : chiefly written during the early part of the fourteenth century ; to which is prefixed an historical introduction, intended to illustrate the rise and progress of romantic composition in France and England / by George Ellis, esq.	3	1811	London
260792	Harington, John	The metamorphosis of Ajax : a cloacinean satire, with the Anatomy and Apology, to which is added, Ulysses upon Ajax.	1	1814	Chiswick
260793	Painter, William	The palace of pleasure, beautified, adorned, and well furnished with pleasant histories and excellent novels, very requisite for delight and profit : Chosen and selected out of divers good and commendable authors.	2	1813	London
260794	Scott, Walter	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.	4	1819	Edinburgh
260795	Scott, Walter	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.	4	1819	Edinburgh
260796	Fielding, Henry	The works of Henry Fielding, esq., with An essay on his life and genius/ by Arthur Murphy, Esq.	14	1813	New York
260797	Swift, Jonathan	The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick\\\'s, Dublin / Arranged by Thomas Sheridan, A.M. with notes, historical and critical.	24	1812	New York
260798		Munchausen at Walcheren, or, A continuation of the renowned Barons surprising travels, adventures, expeditions, and exploits, at Walcheren, The Dardanelles, Talavera, Cintra, &c. &c. his various combats with Eastern armies: and the particulars of a wonderful turtle-feast with Sir W...... C...... on board his yacht, when preparing to attack Flushing. Written by himself.	1	1811	London
260799	Porter, Jane	The Scottish chiefs : a romance, in five volumes / by Miss Jane Porter.	5	1811	London
