pub date	author name	title catalog
1711	"Aulnoy,"	"The memoirs of the court of Scotland, or, The history of the Earl of Douglas ; with, The secret history of Mackbeth, King of Scotland / written by the author of The ladies travels into Spain ... to which is added, The art of love, or, The amours of Count Schlick ... written in Latin by Pope Pius the II."
1711	"Defoe, Daniel,"	"The British visions, or, Isaac Bickerstaff, Senr. : being twelve prophecies for the year 1711."
1711	"Manley,"	"Court intrigues : in a collection of original letters, from the island of the New Atalantis, &c. / by the author of those Memoirs."
1712		"The history of Prince Mirabel\'s infancy, rise and disgrace : with the sudden promotion of Novicius, in which are intermix\'d all the intrigues, both amorous and political, relating to those memorable adventures; as also the characters of the old and new favourites of both sexes in the court of Britomartia / collected from the memoirs of a courtier lately deceas\'d."
1712	"Arbuthnot, John,"	"John Bull still in his senses. Being the third part of Law is a bottomless-pit. Printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth: and publish\'d, (as well as the two former parts) by the author of the New Atalantis. Letter-press Full Work"
1712	"Arbuthnot, John,"	"Law is a bottomless-pit : exemplify\'d in the case of the Lord Strutt, John Bull, Nicholas Frog, and Lewis Baboon : who spent all they had in a law-suit / printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth."
1712	"Arbuthnot, John,"	John Bull in his senses : being the second part of Law is a bottomless-pit / printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth.
1712	"Wagstaffe, William,"	"The story of the St. Alb-ns ghost, or, The apparition of Mother Haggy : collected from the best manuscripts."
1712	"Scarron,"	"The whole comical works of Mon. Scarron : Containing I. His Comical Romance of a Company of Stage-Players. In three Parts, Compleat : II. All his Novels and Histories : III. His Select Letters, Characters, &c. : a great part of which never before in English / translated by Mr. Tho. Brown, Mr. Savage, and others."
1712	"Scarron,"	"The whole comical works of Mon. Scarron : Containing I. His Comical Romance of a Company of Stage-Players. In three Parts, Compleat : II. All his Novels and Histories : III. His Select Letters, Characters, &c. : a great part of which never before in English / translated by Mr. Tho. Brown, Mr. Savage, and others."
1713	Phdrus.	The fables of Phdrus ... : mostly selected from sop\'s fables / render\'d into familiar English by Thomas Dyche.
1713	"Congreve, William,"	"Incognita, or, Love and duty reconcil\'d : a novel / by Mr. Congreve."
1713	"Arbuthnot, John,"	John Bull\'s last will and testament : as it was drawn up by a Welch attorney : with a preface to the Ar--p of C--ry / by an eminent lawyer of the Temple.
1714		"The ladies tales : exemplified in the vertues and vices of the quality, with reflections."
1714		"The life and character of Jane Shore : collected from our best historians, chiefly from the writings of Sir Thomas More, who was her contemporary, and personally knew her : humbly offer\'d to the readers and spectators of her tragedy written by Mr. Rowe : inscrib\'d to Mrs. Oldfield."
