id	pub date	author name	title catalog
260843	1815	Roche, Regina Maria	Anna, or, Edinburgh : a novel in two volumes / by Mrs. Roche.
260844	1818	Brown, Thomas,	Bath : a satirical novel, with portraits / by Thomas Brown, the Elder.
260845	1815	Gunning,	The man of fashion : a tale of modern times / by the late Miss Gunning.
260846	1816	Appleton,	Edgar : a national tale / by Miss Appleton.
260847	1819		Robin Hood : a tale of the olden time : in two volumes.
260848	1813		The ordeal : a novel : in three volumes.
260850	1812	Bury, Charlotte Campbell,	Self-indulgence : a tale of the nineteenth century.
260851	1819	Benson, Maria.	The carriage / by Maria Benson.
260852	1817	Barrett, Eaton Stannard,	Six weeks at Long\'s / by a late resident.
260853	1810	Benson, Maria.	The wife : a novel : in three volumes / by Maria Benson.
260855	1817	Colman, George,	The history of Elsmere and Rosa : an episode / the merry matter written by John Mathers; the grave by a solid gentleman.
260857	1817	Brooke, Frances,	Manners : a novel.
260858	1812	Macneill, Hector,	The Scottish adventurers, or, the way to rise : an historical tale / by Hector Macneill.
260859	1811		Anne of Brittany : an historical romance.
260860	1812	Jacson, Frances,	Things by their right names : a novel / by a person without a name.
260861	1817	Ross,	"The bachelor and the married man, or The equilibrium of the """"balance of comfort."""
260862	1812		Rosamund, Countess of Clarenstein.
260863	1819	Bigelow, Jacob	Varieties in woman : a novel.
260864	1744	Erskine,	The travels and adventures of Mademoiselle de Richelieu : cousin to the present duke of that name, who made the tour of Europe dressed in men\'s clothes attended by her maid Lucy as her valet de chambre / now done into English from the lady\'s own manuscript by the translator of the Memoirs and adventures of the Marques of Bretagne and Duke of Harcourt.
260865	1748	Smollett, Tobias George,	The adventures of Roderick Random : in two volumes.
260867	1743	Annesley, James,	Memoirs of an unfortunate young nobleman : return\'d from a thirteen years slavery in America where he had been sent by the wicked contrivances of his cruel uncle : a story founded on truth and address\'d equally to the head and heart.
260868	1810		The British novelists : with an essay, and prefaces, biographical and criticial / by Mrs. Barbauld.
