355	261028	 2 v. ;					
356	261029	 2 v. ;					
357	261030	 143 p. ;					
358	261031	 [2], iv, [3]-270 p. ;	520: 0/3	591: 0/2	594: 0/3		
359	261032	 135 p. ; 15 cm.					
360	261033	 [4], 235 p. ;					
361	261034	 48 p., [1] leaf of plates :					
362	261035	 47 p., [1] leaf of plates :					
363	261036	 2 v. ;					
364	261037	 4 v. ;					
365	261038	 40 p. :					
366	261039	 204 p. ;	520: 0/6				
367	261040	 228 p., [1] fold. leaf of plates ;					
368	261041	 24 p. ;					
369	261042	 2 v. ;	520: 1/5	591: 2/15			
370	261043	 271 p. ;					
371	261044	 188 p. ;	520: 0/2	591: 0/13	594: 0/1		
372	261045	 2 v. ;					
373	261046	 252 p. ;					
374	261047	 2 v. ;					
375	261048	 2 v. ;					
376	261049	 3 v. ;					
377	261050	 3 v. ;					
378	261051	 3 v. ;					
379	261052	 4 v. ;					
380	261053	 311 p. ;	520: 0/4				
381	261054	 iii, 265 p. ;					
382	261055	 viii, [13]-218 p., [6] leaves of plates :					
383	261056	 251 p. :					
384	261057	 8 v. :					
385	261058	 8 v. :					
386	261059	 9 v. :	520: 0/8		594: 1/2		
387	261060	 178 p., [1] leaf of plates :					
388	261061	 32 p. ;					
389	261062	 64 p. ;					
390	261063	 2 v. ;	520: 3/5	591: 0/5			
391	261064	 36 p. ;					
392	261065	 36 p. ;					
393	261066	 178 p. ;	520: 0/3	591: 0/1			
394	261067	 iv, 290 p. ;					
395	261068	 2 v. :	520: 0/1				656: 0/1
396	261071	 x, 254 p. ;					
397	261072	 2 v. ;					
398	261073	 x, [2], [13]-246 p. ;					
399	261074	 174 [i.e. 175], [1] p. ;					
400	261075	 2 v. ;					
401	261076	 138 p. ;	520: 0/1				
402	261077	 2 v. ;					
403	261078	 [4], 210, [4] p. ;	520: 0/2	591: 0/1			656: 0/1
404	261079	 32 p., [6] leaves of plates :	520: 0/1				656: 0/1
405	261080	 36 p. :					
406	261081	 52 p. ;					
407	261082	 viii, [6], xiv, [15]-322 p. :					
408	261083	 3 v. ;					
409	261084	 119, [5] p., [1] leaf of plates :					
410	261085	 vi, 142, [2] p., [1] leaf of plates :					
411	261086	 3 v. ;					
412	261087	 278 p. ;		591: 0/1			
413	261088	 2 v. ;					
414	261089	 1 v. ; 259 pages			594: 0/1		
415	261090	 [4], 263 p., [1] leaf of plates :					
416	261091	 [4], 284 p., [1] leaf of plates :					
417	261092	 107, [1] p. ;					
418	261093	 xii, 144 p. :	520: 0/2				
419	261094	 3 v. ;					
420	261095	 3 v. ;					
421	261096	 2 v. ;		591: 0/1			
422	261097	 210 p.  ;					
423	261098	 [2], viii, 209, [1] p. ;					
424	261099	 63 p., [1] leaf of plates :					
425	261100	 48 p., [1] leaf of plates :					
426	261102	 [4], 191, [21] p., [1] leaf of plates :					
427	261103	 79, [1] p., [3] leaves of plates :					
428	261104	 [4], 185, [3] p. ;					
429	261105	 180 p. ;	520: 0/2	591: 0/1			
430	261156	 2 v. ;	520: 0/3				
431	261157	 2 v. ;					
432	261486	 [8], 352 p. ;	520: 0/1				656: 0/3
433	276043	 viii, 184 p. ;	520: 0/1			595: 0/1	
434	276044	 104 p. ;	520: 0/1				
435	276045	 2 v. ;		591: 2/3			
436	276046	 4 v. ;	520: 0/1	591: 0/2			
437	276047	 [4], 225, [1], 267, [1], 107, [1], 76 p. ;	520: 0/1			595: 0/1	
438	276049	 [2], 65, [1] p. (last page blank), [1] leaf of plates :					
439	276050	 [2], 262 p., [1] leaf of plates :	520: 0/1				
440	276051	 6 v. :	520: 0/2				
441	276061	 3 v. ;	520: 0/1				
442	276063	 4 v. ;	520: 0/1				
443	276064	 [4], 808 p. ;	520: 0/1		594: 0/5		
444	276066	 xvi, 312 p. ;	520: 0/1		594: 0/1		
445	276068	 4 v. ;	520: 0/5				
446	276069	 2 v. ;	520: 0/3				
447	276070	 2 v. ;					
448	276072	 2 v. ;	520: 0/3				
449	276073	 xiv, [2], 416 [i.e. 398] p. ;	520: 0/9	591: 0/2	594: 0/1	595: 0/5	656: 0/1
450	276075	 3 v. ;					
451	276078	 x, 200, 326 p., [1] leaf of plates :	520: 0/1				
452	276080	 338 p. ;	520: 0/1				
453	276081	 xxx, 143 p. ;	520: 0/2	591: 0/2			
454	276082	 xi, [1], 272 p. ;	520: 0/1	591: 0/1	594: 0/2		
