Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7
364	261037	[1, 2, 1, 1]	2	4 v. ;	['4']	4
408	261083	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	1	3 v. ;	['3']	3
440	276051	[1, 1]	1	6 v. :	['6']	6
461	276092	[1]	1	3 v. ;	['3']	3
475	276114	[1, 2, 2, 3, 3]	3	4 v. ;	['4']	4
482	276122	[1]	1	2 v. ;	['2']	2
492	276135	[1]	1	2 v. ;	['2']	2
498	276150	[1]	1	3 v. ;	['3']	3
507	340846	[1, 1, 2, 2]	2	4 v. ;	['4']	4
534	341366	[1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	2	3 v. :	['3']	3
560	341403	[1]	1	2 v. ;	['2']	2
577	341424	[1, 2, 1, 1, 1, 14, 2]	14	2 v. ;	['2']	2
599	341457	[1, 1, 1, 1, 1]	1	4 v. :	['4']	4
601	341460	[1, 2, 3, 4]	4	5 v. ;	['5']	5
620	341484	[1]	1	2 v. ;	['2']	2
634	341524	[1, 1, 1, 1]	1	2 v. ;	['2']	2
657	341552	[1, 1, 1]	1	2 v. ;	['2']	2
661	341556	[1, 2, 2, 3, 3, 3]	3	2 v. ;	['2']	2
665	341561	[4, 4, 4, 4]	4	5 v. ;	['5']	5
700	341626	[2, 2, 2, 2]	2	3 v. ;	['3']	3
730	341687	[1, 1]	1	2 v. ;	['2']	2
747	341715	[10, 11, 15]	15	18 v. ;	['18']	18
775	374956	[1, 1, 1, 1, 1]	1	2 v. ;	['2']	2
786	375225	[1]	1	2 v. ;	['2']	2
794	375791	[1, 1, 1]	1	2 v. ;	['2']	2
904	380966	[1]	1	2 v. ;	['2']	2
909	427580	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]	3	14 v. ;	['14']	14
910	427644	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	2	14 v. ;	['14']	14
911	427785	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]	4	14 v. ;	['14']	14
912	427894	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	5	14 v. ;	['14']	14
913	428009	[6, 6, 6, 6, 6, 6]	6	14 v. ;	['14']	14
914	428027	[7, 7, 7, 7, 7, 7]	7	14 v. ;	['14']	14
931	440192	[1, 2, 1]	2	1 - 293; v.1	['1', '293', '1']	1
932	440193	[1, 2, 1, 1, 2, 1, 2, 1, 2]	2	[1] - 292; v.1 	['1', '292', '1']	1
937	440198	[1, 2, 2, 1, 2, 2, 2]	2	[1]-243; v.1	['1', '243', '1']	1
939	440200	[1, 2, 1, 1, 2]	2	[i] - iv, [1] - 244; v.1	['1', '244', '1']	1
946	440207	[1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2]	2	[i] - xii, [1] - 264; v.1	['1', '264', '1']	1
954	440215	[1, 1, 2, 2, 3, 3, 1, 2, 3, 1, 2, 3]	3	[i]-iv, [1]-288; v.1	['1', '288', '1']	1
955	440216	[1, 1, 2, 2, 3, 3, 1, 2, 3, 1, 2, 3]	3	[i]-iv, [1]-288; v.1	['1', '288', '1']	1
958	440219	[2, 2, 1, 2]	2	[1] - 304; v.1	['1', '304', '1']	1
962	440223	[1, 2, 3, 1, 1, 2, 3]	3	[i]-xii, [1]-297; v.1	['1', '297', '1']	1
963	440224	[1, 2, 3, 1, 1, 2, 3]	3	[i]-xii, [1]-297; v.1	['1', '297', '1']	1
965	440226	[1, 2, 1, 2, 1, 2]	2	1-256; v.1	['1', '256', '1']	1
966	440227	[1, 2, 3, 4, 1, 1, 4, 1, 2, 3, 4]	4	[1] - 274; v.1	['1', '274', '1']	1
967	440228	[1, 2, 3, 4, 1, 1, 4, 1, 2, 3, 4]	4	[1]-274; v.1	['1', '274', '1']	1
970	440232	[1, 1, 2, 2, 1, 2, 1, 1]	2	[i]-xiv, [1]-312; v.1	['1', '312', '1']	1
971	440233	[1, 1, 2, 1, 1, 2, 2]	2	[1] - 301; v.1	['1', '301', '1']	1
973	440235	[1, 2, 1, 1, 1, 1, 2, 2]	2	[i]-lii, [1]-200; v.1	['1', '200', '1']	1
988	440252	[1, 2, 1, 2, 1, 2]	2	[1] - 269, iii - viii; v.1 	['1', '269', '1']	1
990	440254	[1, 2, 3, 1, 1, 1, 2, 3, 1, 2, 3, 1]	3	[i] - xxxv, [1] - 273; v.1	['1', '273', '1']	1
996	440260	[1, 2, 1, 2]	2	[1]-295; v.1	['1', '295', '1']	1
997	440261	[1, 2, 1, 1, 1, 2, 1, 2]	2	[i]-xii, [1]-226; v.1	['1', '226', '1']	1
998	440263	[1, 2, 1, 1, 1, 2, 1, 2]	2	i - xvi; [1] - 264; v.1	['1', '264', '1']	1
1002	440268	[1, 2, 1, 1, 2, 1, 2]	2	[i]-vi, 1-188; v.1	['1', '188', '1']	1
1003	440269	[1, 2]	2	1-224; v.1	['1', '224', '1']	1
1004	440270	[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 1, 1]	4	[i]-viii, [i]-xliii, [1]-216, v.1; [1]-242, v.2;�[1]-254, v.3; v.iii; [1]-262, [i]-v, v.4	['1', '216', '1', '1', '242', '2', '1', '254', '3', '1', '262', '4']	1
1027	440295	[1, 2, 4, 1, 1, 2, 3, 4]	4	[i]-[ii], [1]-324; v.1	['1', '324', '1']	1
1032	440300	[1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2]	2	[i] - xxiv, 1 - 250; v.1	['1', '250', '1']	1
1033	440301	[1, 2, 1, 1, 2]	2	[i]-vii, [1]-262, v.1; 1-315, v.2	['1', '262', '1', '1', '315', '2']	1
1034	440302	[1, 2, 1, 1, 2]	2	[i] - viii. 1 - 262; v.1	['1', '262', '1']	1
1035	440303	[3, 4, 4, 4, 3, 3, 4, 4]	4	[i]-xiv, 25-203; v.3	['25', '203', '3']	25
1040	440308	[1, 2, 3, 1, 1, 2, 3]	3	[i]-x,[1]-285; v. 1	['1', '285', '1']	1
1041	440309	[1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2]	2	[i]-viii, 1-464, v.1; i-ix, 1-98, 1-20, 1-146, [1]-61, [1]-97, [1]-87, v.2	['1', '464', '1', '1', '98', '1', '20', '1', '146', '1', '61', '1', '97', '1', '87', '2']	1
1044	440312	[1, 2, 1, 2]	2	[1]-295, v.1; [1]-299, v.2	['1', '295', '1', '1', '299', '2']	1
1045	440313	[1, 1, 2, 3, 1, 2, 3]	3	[i]-iv, [1]-288, v.1; [i]-iv, [1]-269, v.2; [i]-iv, [1]-311, v.3	['1', '288', '1', '1', '269', '2', '1', '311', '3']	1
1048	440317	[1, 2, 1, 1, 1, 1, 2]	2	[i]-vii, [1]- 280; v.1 [1]- 247; v.2	['1', '280', '1', '1', '247', '2']	1
1053	440326	[1, 2, 1, 2]	2	[1] - 329, 430-435; v.1	['1', '329', '430', '435', '1']	1
1055	440328	[1, 2, 1, 2]	2	[1]-316, v.1 ; [1]-315, v. 2	['1', '316', '1', '1', '315', '2']	1
1060	440333	[1, 2, 3, 4, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4]	4	[1]-352, v.1; [1]-301, v.2; [1]-321, v.3; [1]-282, v.4	['1', '352', '1', '1', '301', '2', '1', '321', '3', '1', '282', '4']	1
1061	440334	[1, 2, 3, 4, 1, 2, 3, 4, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4]	4	[1]-356, v.1; [1]-408, v.2; [1]-312, v.3; [1]-363, v.4	['1', '356', '1', '1', '408', '2', '1', '312', '3', '1', '363', '4']	1
1083	440358	[1, 2, 4, 1, 1, 2, 3, 4]	4	[i]-[ii], [1]-324; v.1	['1', '324', '1']	1
1088	440364	[1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2]	2	[i] - xxiv, 1 - 250; v.1	['1', '250', '1']	1
