id	title	author	date	a	b	c	d
260822	The life and advenutres of Peter Wilkins, a Cornish man: taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector.  By R.S., a passenger in the Hector.  In two volumes.  Vol. I.  A new edition, embellished with engravings.	Paltock, Robert	1816	['First-person']			
260825	The wars of the gulls; an historical romance. In three chapters. Chap. I. Shewing how, and why, and with whom the Gulls went to war. Chap. II. Shewing how the Gulls make the deep to boil like a pot. Chap. III. Shewing how a certain doughty general of the Gulls goes forth to play the game of hull-gull in Upper Canada, ""And from the pinnacle of glory, --- falls headlong into purgatory.""	Bigelow, Jacob	1812	['Third-person']		['Song']	
260826	Rhoda: A Novel. By the Author of ""Things by their right names,"" ""Plain sense,"" &c. Second Edition. In three volumes. Vol. I.	Jacson, Frances	1816	['First-person']	['Third-person']		
260827	Charenton; or, the follies of the age: A philosophical romance. By M. De Lourdoueix. Translated from the french.	De Lourdoueix, M	1818	['First-person']	['Dramatic dialogue']		
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['First-person']	['Third-person']		
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['First-person']	['Third-person']		
260843		Roche, Regina Maria	1815	['Epistolary']	['Third-person']		
260850		Bury, Charlotte Campbell	1812	['Third-person']			
260858	The Scottish Adventurers, or, The Way to Rise; An historical tale. By Hector Macneill, Esq. In Two Volumes. Vol. I.	Macneill, Hector	1812	['Third-person']			
260860	Things by their Right Names; A Novel, In Two Volumes. By a person without a name. Vol. I.	Jacson, Frances	1812	['Third-person']	['Epistolary']		
260861	The bachelor and the married man, or the equilibrium of the ""balance of comfort."" In three Volumes. Vol. I.	Ross	1817	['Third-person']	['Epistolary']		
260862	Rosamund, countess of Clarenstein. In three volumes. Vol. I.		1812	['Third-person']			
260863	Varieties in woman. A novel, in three volumes. Vol. I.	Bigelow, Jacob	1819	['Third-person']	['Epistolary']		
260869	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. I.	Richardson, Samuel	1810	['Epistolary']	['Poem(s)']		
260870	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XIV.	Richardson, Samuel	1810	['Epistolary']			
260871	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XVI.	Defoe, Daniel	1810	['First-person']			
260872	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. XVIII.	Fielding, Henry	1810	['Third-person']	['Epistolary']		
260873	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. XIX.	Fielding, Henry	1810	['Third-person']	['First-person', 'Verse']		
260874	The old English Baron. A gothic story. The  castle of Otranto. A gothic story. By Horace Walpole. Earl of Orford	Reeve, Clara	1810	['Third-person']			
260875	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIII.	Coventry, Francis	1810	['Third-person']	['Epistolary']		
260876	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIIII.	Lennox, Charlotte	1810	['Third-person']			
260877	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXVI.	Johnson, Samuel	1810	['Third-person']	['First-person']		
260879	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXVIII.	Inchbald	1810	['Third-person']			
260880	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIX.	Mackenzie, Henry	1810	['First-person']			
260881	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXX.	Smollett, Tobias George	1810	['Epistolary']			
260882	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXII.	Graves, Richard	1810	['Third-person']			
260883	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXIV.	Moore, John	1810	['Third-person']			
260884	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXVI.	Smith, Charlotte Turner	1810	['Third-person']			
260885	Evelina; or the history of a young lady's introduction to the world. In two volumes. Vol. I.	Burney, Fanny	1810	['Epistolary']			
260888	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XLV.	Radcliffe, Ann Ward	1810	['Third-person']	['Poem(s)']		
260889	Man as he is not; or, Hermsprong.	Bage, Robert	1810	['First-person']			
260890	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. L.	Edgeworth, Maria	1810	['Third-person']			
260894	A month in town; a satirical novel. By Humphrey Hedgehog, Esq. Author of ""The General-post bag,"" ""Rejected odes,"" &c. &c. &c. ""Velute in speculum."" In three volumes. Volume I. Third edition, corrected, with new preface, &c.	Agg, John	1816	['Third-person']	['Poem(s)']		
260898	Campbell; or, the Scottish probationer. A novel. In three volumes.  Vol. I.	Balfour, Alexander	1819	['First-person']			
260900	A year and a day. A novel. In two volumes. By Madame Panache, author of Manners	Brooke, Frances	1818	['Epistolary', 'Third-person', 'First-person']			
260907	The cottagers of Glenburnie. A Tale, for the farmer's fire-side. By Elizabeth Hamilton, Author of the Elementary Principles of Education, Memoirs of Modern Philosophers, &c.	Hamilton, Elizabeth	1812	['Third-person']			
260911	Letters of an Italian Nun and an English Gentleman. Translated from the French of J.J. Rousseau. Sixth Edition.		1817	['Epistolary']			
260919	The Balance of Comfort; or the Old Maid and Married Woman. A Novell. In Three Volumes. By Mrs. Ross, Author of The Marchioness, The Cousins, Family Estate, Modern Calypso, Paired - Not Matched, &c. Vol. I.	Ross	1817	['Third-person']			
260929	Eloisa; a series of original letters. Translated from the French of J.J. Rousseau. To which are added, the adventures of Lord B___ at Rome; being the sequel of Eloisa. (Found among the author's papers after his decease.) In three volumes. Vol. I.	Rousseau, Jean-Jacques	1810	['Epistolary']			
260931	An antidote to the miseries of human life, in the history of the widow Placid, and her daughter Rachel. By Harriet Corp, author of A Sequel to the Antidote to the Miseries of Human Life, Talents Improved, Cottage Sketches, Familiar Scenes, &c.	Corp, Harriet	1814	['Third-person']			
260933	Adelaide: or, The Countercharm. A Novel. In Five Volumes. By the author of ""Santo Sebastiano ; or, the Young Protector:"" ""Romance of the Pyrenees:"" and ""The Forest of Montalbano."" Vol. V.	Cuthbertson, Catherine	1813	['Third-person']	['Dramatic dialogue']	['Epistolary']	
260943	Clan-Albin: A National Tale. In Four Volumes. The Second Edition. Vol. I	Johnstone, C. I	1815	['Third-person']	['Verse']		
260945	The absent man, a narrative. Edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.		1817	['First-person']	['Epistolary', 'Verse']		
260946	The absent man, a narrative. Edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.		1817	['First-person']	['Epistolary', 'Verse']		
260949	The fast of St. Magdalen, A Romance.  By Miss Anna Maria Porter. In Three Volumes. Vol. I. Third Edition.	Porter, Anna Maria	1819	['Third-person']			
260956	Tales of Real Life. By Mrs. Opie. In Three Volumes. Vol. I.	Opie, Amelia Alderson	1813	['Third-person']			
260958	Forman. A Tale. In Three Volumes. Vol. I.	Moysey, Abel	1819	['Third-person']			
260959	The castles of Athlin and Dunbayne. A highland story. By Anne Radcliffe.	Radcliffe, Ann Ward	1811	['Third-person']			
260964	Human nature. A novel. In three volumes. Vol. I.	Cordova, Cordelia	1816	['Third-person']			
261013	O'Donnel. A National Tale. By Lady Morgan (Late Miss Owenson) Author of the Wild Irish Girl; Novice of St. Dominick, &c. In Three Volumes. Vol. I.	Morgan	1814	['Third-person']	['Epistolary']		
261018	The adventures of Uncle Sam, in search after his lost honor. By Frederick Augustus Fidfaddy, Esq. Member of the legion of honor, scratch-etary to Uncle Sam and privy counsellor to himself.	Fidfaddy, Frederick Augustus	1816	['Third-person']	['Dramatic dialogue']	['Song']	
261031	Sarah, or the exemplary wife. By Susanna Rowson, Author of Charlotte Temple, Reuben and Rachel, Fille de Chambre, &c. &c.	Rowson	1813	['Epistolary']	['First-person']		
261036	Adelaide. A new and original novel. By a lady of Philadelphia. [Epigraph.] In two volumes. Vol. I.	Botsford	1816	['Epistolary']		['Verse']	
261039	The Common Reader, Consisting of a Variety of Pieces, Original and Selected, Intended for the use of schools, and particularly calculated for the improvement of scholars of the first &  second classes in the art of reading. By T. Strong, A.M.	Strong, Titus	1818	['Third-person']	['Verse']	['Dramatic Dialogue']	
261042	Keep cool, a novel. Written in Hot Weather. By Somebody, M.D.C. &c. &c. &c. Author of sundry works of great merit -- Never published, or read, From His-Story. Reviewed by -- Himself -- ""Esquire."" In Two Volumes. Vol. I.	Neal, John	1817	['Third-person']	['Verse']		
261044		Finch, John	1812	['First-person']	['Third-person']	['Verse']	
261053	Comic Dramas, in Three Acts. By Maria Edgeworth, Author of ""Tales of Fashionable Life,"" &c. &c.	Edgeworth, Maria	1817	['Dramatic dialogue']			
261063	The Thatcher's Wife; or an account of Mary Camps.	Richmond, Legh	1819	['First-person']	['Epistolary']	['Second-person']	
261066	Sancho, or The Proverbialist. Third Edition.	Cunningham, J. W	1817	['First-person']			
261076	Comic Tales in Prose and Verse. Comprising a selection from the most celebrated authors.		1814	['Third-person']	['Verse']	['First-person']	
261078	Sentimental anecdotes, by Madame de Montolieu, Author of ""Tales,"" ""Caroline of Lichfield,"" &c. &c. &c. Translated from the French by Mrs. Plunkett, Formerly Miss Gunning. Two volumes in one.	Montolieu, Isabelle de	1812	['Third-person']	['Dramatic dialogue']		
261083	Melincourt. By the author of Headlong Hall. In three volumes. Vol. I.	Peacock, Thomas Love	1817	['First-person']	['Dramatic dialogue', 'Verse']		
261089	The Absentee: a Tale. By Miss Edgeworth, author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, Tales of Fashionable Life, &c. In two volumes. Vol. I	Edgeworth, Maria	1812	['Third-person']	['Dramatic dialogue']	['Verse']	
261095	True stories, from ancient history: chronologically arranged. From the creation of the world to the death of Charlemagne. By the author of ""Always Happy,"" & c.	Budden, Maria Elizabeth	1819	['Third-person']	['First-person']		
261096	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. L.	Edgeworth, Maria	1810	['Third-person']			
276043	A sequel to the Antidote to the miseries of human life, containing a further account of Mrs. Placid and Her Daughter Rachel.	Corp, Harriet	1814	['Third-person']			
276045	A year and a day. A novel. In two volumes. By Madame Panache, author of Manners	Brooke, Frances	1818	['Epistolary', 'Third-person', 'First-person']			
276046	Alicia de Lacy; an historical romance. By the author of ""The loyalists, "" &c.	West	1814	['Third-person']			
276061	Peveril of the peak. By the author of ""Waverly, Kenilworth,"" &c. In three volumes. Vol. I	Scott, Walter	1823	['Third-person']			
276063	Patronage. By Maria Edgeworth, author of ""Tales of a fashionable life,"" ""Belinda,"" ""Leonora,"" &c. In four volumes. Vol. I.	Edgeworth, Maria	1814	['Third-person']			
276069	National tales. Vol. II.		1825	['Third-person']	['First-person']		
276072	Modern chivalry: containing the adventures of a captain and Teague O'Regan, his servant. By H. H. Brackenridge, late a judge of the Supreme Court of Pennsylvania. With the last corrections and additions of the author. Vol. I.	Brackenridge, H. H	1819	['Third-person']			
276075	Midnight weddings. A novel. In three volumes.	Meeke, Mary	1814	['Third-person']			
276087	Horrid mysteries. A story. From the German of the Marquis of Grosse. By P. Will. In four volumes. Vol. I.	Grosse, Carl	1796	['First-person']			
276092	Duty, a novel, by the late Mrs. Roberts, author of "" Rose and Emily:"" Interspersed with poetry and preceded by a character of the author by (Mrs. Opie). In three volumes.	Roberts	1814	['Third-person']			
276093	Corasmin, or, the minister; A romance. In three volumes. By the author of the Swiss emigrants. Volume I.	Murray, Hugh	1814	['Epistolary', 'Third-person']			
276097	Christabelle, the maid of Rouen. A novel, founded on facts. By Mrs. Hanway, author of ""Ellinor,"" ""Andrew Stuart,"" and ""Falconbridge Abbey.""	Hanway, Mary Ann	1814	['Third-person']			
276103	Bannockburn; a novel: being a sequel to the Scottish chiefs by (Miss Jane Porter). In two volumes. Vol.I.		1822	['Third-person']			
276105	Young Grandison. A series of letters from young persons to their friends. Translated from the Dutch of Madame de Cambon. With alterations and improvements. In two volumes. Vol. I.	Cambon	1790	['Epistolary']	['Dramatic dialogue']		
276109	The wanderer; or, female difficulties. By the author of Evelina; Cecilia; and Camilla. In five volumes. Vol. I.	Burney, Fanny	1814	['Third-person']			
276110	The wanderer, or, female difficulties. By Madame d'Arblay, author of Evelina; Cecilia; and Camilla. Three volumes. Vol. I	Burney, Fanny	1814	['Third-person']			
276114	The recluse of Norway by Miss Anna Maria Porter. In four volumes. Vol. I. 	Porter, Anna Maria	1814	['Third-person']			
276142	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['First-person']	['Letter(s)']		
276150	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.	Weston, Anna Maria	1814	['Third-person']	['Poem(s)']		
276155	Tell-tale sophas, an eclectic fable, in three volumes. Founded on anecdotes, foreign and domestic. By John Battersby. Volume the second.	Battersby, John	1814	['First-person', 'Third-person']			
279595	Nick of the woods, or the jibbenainosay. A tale of Kentucky. By the author of ""calavar,"" ""the infidel,"" &c. [Epigraph.] In two volumes. Vol. I.	Bird, Robert Montgomery	1837	['Third-person']			
374838	The bride of Fort Edward, founded on an incident of the revolution.	Bacon, Delia Salter	1839	['Dramatic dialogue']			['The text identifies itself as a dramatic story.']
374841	Never despair : a tale of the emigrants. Founded on fact.	Bokum, Hermann	1837	['Third-person']		['Poems']	
374924	The Brigantine: or, Admiral Lowe. A tale of the 17th century. By an American.		1839	['Third-person']			
374930	Charles Elwood: or the infidel converted. By O.A. Brownson	Brownson, Orestes Augustus	1840	['First-person']			
374934	Working a passage: or, life in a liner. (Published for the benefit of young travelers.) By B.C.F	Briggs, Charles F	1844	['First-person']			
374935	Helen Howard, or the bankrupt and broker.  A tale tale of New-England.  By Professor Ashby.	Ashby	1845	['Third-person']			
374936	Autobiography of a reformed drunkard; or letters and recollections by an inmate of the alms-house. With illustrations.		1845	['Epistolary', 'First-person']			
374937	Fanny Campbell. By Lieutenant Murray.	Ballou, Maturin Murray	1844	['Third-person']			
374938	Albert Simmons: or, the midshipman's revenge.  A tale of land & sea.  By Frank Forester.  Author of ""The smuggler's child,"" ""The phantom rock,"" ""Tale of Manhattan,"" ""The Highwayman,"" ""The two purses, &c.""	Ballou, Maturin Murray	1845	['Third-person']			
374939	Fanny Campbell, the female pirate captain. A tale of the revolution. By Lieutenant Murray.	Ballou, Maturin Murray	1845	['Third-person']		['Song']	
374940	The naval officer; or, the pirate's cave.  A tale of the last war.  By Lieutenant Murray.  Author of ""Fanny Campbell, the female pirate captain.""	Ballou, Maturin Murray	1845	['Third-person']			
374941	Cecilia: or, the white nun of the wilderness. A romance of love and intrigue. By Benjamin Barker, esq. Author of 'Mary Morland,' 'Francisco, or the pirate of the Pacific.'	Barker, B	1845	['Third-person']	['Letter']	['Poem']	
374942	Emily Elwood, or hermit of the crags. A romance of the last war. By Benjamin Barker, Esq. Author of 'Mary Morland,' 'Francisco, or the pirate of the Pacific.'	Barker, B	1845	['Third-person']	['Letter']	['Song', 'Poem']	
374943	Mary Morland, or the fortunes or misfortunes of an orphan. By Benjamin Barker, author of the Zoraida, or the witch of Naumkeag, &c.	Barker, B	1845	['Third-person']			
374945	The child of the sea, or the smuggler of colonial times. And the love test. By Lieutenant Murray, Author of ""Fanny Campbell, the female pirate captain,"" ""The naval officer, or the pirate's cave,"" ""Red Rupert, the American Buccanier,"" and other tales.	Ballou, Maturin Murray	1846	['Third-person']			
374948	Clarida: or, the female pickpocket. A romance of New York City. By B. Barker, Esq. Author of 'Lily of Lexington,' 'Emily Elwood,' 'Mornilva,' &c.	Barker, B	1846	['Third-person']			
374949	$100 prize tale! The gipsey: or, the robbers of Naples. [illustration and caption] By Lieutenant Murray, Author of 'Fanny Campbell,' 'The Spanish Musketeer,' 'Roderick the Rover,' etc. etc.	Ballou, Maturin Murray	1847	['Third-person']	['Epistolary']	['Song(s)']	
374950	$100 prize tale. Roderick the rover: or, the spirit of the wave. By Lieutenant Murray, Author of Fanny Campbell, the female pirate captain; Red Rupert, the American buccaneer; The naval officer; The Spanish musketeer, etc.etc.etc.	Ballou, Maturin Murray	1847	['Third-person']			
374952	100 dollar prize tale. The Spanish musketeer. A tale of military life. By Lieutenant Murray, author of 'Fanny Campbell, the female pirate captain,' 'Red Rupert, the American Buccaneer,' 'The naval officer,' &c., &c., &c.	Ballou, Maturin Murray	1847	['Third-person']	['Epistolary']		
374953	Calavar; or, the knight of the conquest: a romance of Mexico. By R.M. Bird, Author of ""The infidel,"" etc. [Epigraph.] A new edition. In two volumes. Vol. I.	Bird, Robert Montgomery	1847	['Third-person']		['Poems']	
