id	author name	title catalog	pub date
261071	Lambert de Saumery, Pierre	The devil turn\\\'d hermit : or the adventures of Astaroth banish\\\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.	1742
261087	Gomez	The memoirs of the Baron Du Tan : To which is added The Calabrian, or, The history of Charles Brachy, and The hermit / Translated from the French of Madame de Gomez ... By a gentleman ...	1744
261093	Tom Thumb	The travels of Tom Thumb over England and Wales : containing descriptions of whatever is most remarkable in the several counties : interspersed with many pleasant adventures that happened to him personally during the course of his journey / written by himself, and adorned with a suitable map.	1746
261156	Mouhy, Charles de Fieux	The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	1742
261157	Mouhy, Charles de Fieux	The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	1742
261486	Quevedo, Francisco de	The comical works of Don Francisco de Quevedo / author of the Visions of hell ... ; translated from the Spanish.	1742
276044	A. F	A trip to the Jubilee / by a Gentleman that was at the late grand one at Rome ; containing a diverting account of the most remarkable occurrences in his travels thro\\\' France, Milan, Venice, Florence, &c. till his arrival at Rome ; also, a description of the religious processions and ceremonies us\\\'d in their churches, streets, and woods ... ; likewise, the debauch\\\'d lives and intrigues of the lustful priests and nuns ... ; with an account of the fallacy made use of in the opening the holy gate of St. Peter\\\'s Church, and a pleasant description of the whole ceremony of the Grand Jubilee at Rome.	1750
276049		A Complete history of James Maclean : the gentleman highwayman, who was executed at Tyburn, on Wednesday, October 3, 1750 for robbery on the highway : containing the particulars of his life, from his birth to his death : in which is included an account of the robberies he commited with his companion Plunket : and a series of letters, that pass\\\'d between him and Plunket, as well during the time he was in Holland, as in England, in which are open some extraordinary scenes : also, the particulars of their fortune-hunting schemes, in which Maclean generally pass\\\'d for a gentleman of worth, and Plunket personated his footman : likewise a number of original letters sent to Maclean by different ladies, some of which contain narratives of facts so exceeding tender, as must raise pity and compassion in the breast of every reader / the whole adorn\\\'d with a very neat picture of Maclean, taken from the life, while under sentence, drawn and engrav\\\'d by Mr. Boitard.	1750
276050	Scott, Sarah	A description of Millenium Hall and the country adjacent : together with the characters of the inhabitants, and such historical anecdotes  and reflections, as may excite in the reader proper sentiments of humanity, and lead the mind to the love of virtue / by a gentleman on his travels.	1778
276051		A select collection of novels : in four volumes / written by the most celebrated authors in several languages, many of which never appear\\\'d in English before; and all new translated from the originals, by several eminent hands.	1720
276066	Kelly, John	Pamela\\\'s conduct in high life : publish\\\'d from her own original papers : to which are perfix\\\'d several curious letters written to the editor on the subject.	1741
276068	Richardson, Samuel	Pamela, or Virtue rewarded : in a series of familiar letters from a beautiful young damsel to her parents : now first published in order to cultivate the principles of virtue and religion in the youth of both sexes : a narrative which has its foundation in truth and nature, and at the same time that it agreeably entertains by a variety of curious and affecting incidents, is intirely divested of all those images which, in too many pieces calculated for amusement only, tend to inflame the minds they should instruct.	1741
276070	Walker, Mary	Munster village : a novel : in two volumes.	1778
276073	Swift, Jonathan	Miscellaneous works, comical & diverting / by T.R.D.J.S.D.O.P.I.I. ; in two parts. I. The tale of a tub, with the Fragment, & the Battel of the books, with considerable additions, & explanatory notes, never before printed.  II. Miscellanies in prose & verse, by the supposed author of the author of the first part.	1720
276078		Memoirs of the Bashaw Count Bonneval, from his birth to his death : shewing the motives which induced him to quit the service and dominions of France, his entrance into and sudden rise in the imperial armies, his exploits in Italy, Hungary, &c., his quarrel with the Marquis de Prie and its consequences, the true cause of his disgrace at the court of Vienna, and the reasons which occasioned him to seek an azylum amongst the Turks, with his various fortunes while in the service of the Porte : interspersed throughout with an entertaining diversity of secret intrigues, amorous adventures, military and political achievements : being in effect the secret history of Europe for the best part of the current century / written by himself and collected from his papers.	1750
276080	Defoe, Daniel	Memoirs of a cavalier, or, A military journal of the wars in Germany, and the wars in England : from the year 1632, to the year 1648 / written threescore years ago by an English gentleman, who served first in the army of Gustavus Adolphus, the glorious king of Sweden, till his death; and after that, in the royal army of King Charles the First, from the beginning of the rebellion, to the end of that war.	1720
276081		Love upon tick, or, Implicit gallantry : exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour : In which the whole mechanism of that passion is expos\\\'d, and made obvious to the meanest capacity / by the author of -----.	1724
276082	Jenner, Charles	Letters from Altamont in the capital to his friends in the country.	1767
276083		Learning at a loss, or, The amours of Mr. Pedant and Miss Hartley : a novel, in two volumes.	1778
276085	Fagnan, Marie-Antoinette	Kanor : a tale translated from the savage.	1750
276088	Rowe, Elizabeth Singer	Friendship in death : in twenty letters from the dead to the    living : to which are added, Letters moral and entertaining, in prose and verse / by Mrs. Elizabeth Rowe.	1750
276089		Fanny, or, The amours of a West-country young lady : contained in a series of genuine letters : interspersed with some entertaining particulars during her travels abroad : in two volumes.	1755
276099	Argens, Jean-Baptiste de Boyer	Chinese letters. Being a philosophical, historical, and critical correspondence between a Chinese traveller at Paris, and his countrymen in China, Muscovy, Persia and Japan. Translated from the originals into French, by the Marquis d\\\'Argens, author of the Lettres juives, or Jewish spy; and now done into English.	1741
276107	Petronius Arbiter	The works of Petronius Arbiter, in prose and verse / translated from the original Latin by Mr. Addison ; to which are prefix\\\'d The Life of Petronius, done from the Latin, and a character of his writings by Monsieur St. Evremont.	1736
276113	Graves, Richard	The spiritual Quixote, or, The summer\\\'s ramble of Mr. Geoffry Wildgoose : a comic romance.	1783
276115	Manley	The power of love: in seven novels. Viz. I. The fair hypocrite. II. The physician\\\'s stratagem. III. The wife\\\'s resentment. IV. V. The husband\\\'s resentment, in two examples. VI. The happy fugitives. VII. The perjur\\\'d beauty ... By Mrs. Manley.	1720
276116		The nominal husband, or, Distress\\\'d innocence : a true secret history, taken from an old Saxon manuscript, found among the papers of a late noble antiquarian, modernized for the service of the youth of both sexes.	1750
276117	Thistlethwaite, James	The man of experience, or, The adventures of Honorious : in two volumes / by Mr. Thistlethwaite.	1778
276118	Terrasson, Jean	The life of Sethos : taken from private memoirs of the ancient Egyptians / translated from a Greek manuscript into French, and now faithfully done into English from the Paris edition by Mr. Lediard ; in two volumes.	1732
276120	Green, George Smith	The life of Mr. John Van, a clergyman\\\'s son, of Woody, in Hampshire : being a series of many extraordinary events, and surprizing vicissitudes : in which are shewn, among a great number of singular and merry occurences, his entrance into the army as a trooper : his bravery against the rebels : his marriage with an heiress of eight hundred pounds a year, at St. Ive\\\'s in Huntingdonshire : his conduct in high life : his favours from fortune and reduction to poverty / written by G.S. Green.	1750
276121		The Life and adventures of Mrs. Christian Davies, the British Amazon, commonly call\\\'d Mother Ross; who served as a foot-soldier and dragoon, in several campaigns, under King William and the late Duke of Marlborough ... : The whole taken from her own mouth, and known to be true by many noblemen, generals, and other officers, &c. mentioned in her life, and still living, who served in those wars at the same time, and were witnesses of her uncommon martial bravery.	1741
